event,FI_n,HI_n
1,NA,NA
2,0.3500647676958838,-0.1954269131120538
3,0.439240506329112,-0.3859576227045734
4,NA,NA
5,0.5603607806183376,-0.10934435043831342
6,-0.5452512464561541,0.6117572149600456
7,NA,NA
8,-0.5115554049474763,0.28313833703390856
9,0.24669267198404754,0.2708849196316271
10,0.7287624584717607,-0.25654577776273957
11,NA,NA
12,-0.8143162393162402,0.02028599943723427
13,0.3477715355805239,0.17558063807551158
14,0.1687898089171973,-0.48213344638451655
15,NA,NA
16,NA,NA
17,NA,NA
18,NA,NA
19,NA,NA
20,-0.35895270270270163,0.5448756792506789
21,-0.17400335008375212,-0.5832485187069717
22,0.3178511001909969,0.1341979269241543
23,0.7607346741112123,0.06997656193154432
24,0.11570666837535902,-0.7396012695676959
25,NA,NA
26,0.9137567677708563,0.13681699242239637
27,NA,NA
28,-0.0011840688912809066,-0.027156370593624257
29,0.8581408450704223,-0.21826649771403075
30,-0.24463085329203124,-0.5926737506354025
31,-0.3981638951759214,0.18209523642211872
32,-0.29612073505894076,-0.44247615054414763
33,0.45725079918628314,-0.13944098035284228
34,-0.20523974295600622,-0.14617487821773834
35,-0.0033112582781459343,0.011327683953807828
36,0.5550118872982968,NA
37,NA,NA
38,0.217843316062177,0.37750643872938927
39,-0.10425170068027395,-0.4042193911294656
40,-0.847025641025638,NA
41,-0.3682700421940911,0.613177962786699
42,0.1967805261091462,0.14784410520054003
43,-0.04269297484822254,0.4403831230176364
44,-0.10025998862331709,0.24701857292736354
45,0.12129597197898406,-0.3853755316797353
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,NA
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,0.7503671497460163,-0.1898049691211798
63,-0.6256718634001482,-0.013737298162583579
64,0.2419707218576478,-0.07433203601567741
65,0.3301464891626474,0.11916334651721976
66,0.15089912280701767,0.045311006538336446
67,0.06419264698160432,-0.019447493963655894
68,0.2907767153162222,0.12830427140777542
69,0.6030114269788187,0.007910304089026798
70,-0.6135922330097088,0.19356586485269842
71,0.09734770909775148,-0.21754411033823381
72,0.6223287671232862,-0.3447055437554772
73,0.2878878878878881,0.09229877312280695
74,-0.28765193370165754,0.3791236245836053
75,0.047599999999999976,0.44922838203409543
76,-0.16471681672959637,-0.42534250121118805
77,0.08233450137827814,NA
78,NA,NA
79,0.28183160458903034,-0.4215583803531612
80,0.881687179487179,-0.07689253173820429
81,0.7288274336283184,-0.22387989199427014
82,0.498592233009709,0.42322759978425195
83,-0.1054089552238815,0.13138402914549188
84,0.19059382638849343,0.8902215900520937
85,-0.6986137440758293,-0.5961477625541058
86,0.2841729228779768,-0.14633282744830284
87,-0.572744479495267,0.201905419676713
88,0.2042731829573936,-0.23557517944521175
89,-0.5436298932384331,0.1367697635993897
90,0.87822358346095,-0.014115399053970289
91,-0.6324110671936765,0.5433831258988036
92,0.09915611814346059,-0.04765481703908731
93,0.3444650817236253,-0.6416254152664406
94,-0.5758940397350967,0.342288855797759
95,0.30454638124362887,-0.6885323323599521
96,0.2553916004540294,-0.18767774330451104
97,-0.5796874051147445,0.5280289490408175
98,-0.8345323741007116,-0.0894564849015246
99,-0.31992687385740365,-0.06622731341902337
100,0.07322959183673361,0.10676282572563363
101,0.3345742434904999,-0.549699574495894
102,0.5023616442180193,0.12254397255216756
103,-0.9509090909090918,-0.22070561833020702
104,0.7534441805225652,-0.30367130466381387
105,0.08601447178002902,-0.1473468430139557
106,0.10116245487364572,-0.1286822563816897
107,0.2529855072463766,-0.5333845201766558
108,-0.3844221105527642,0.22947558755736808
109,-0.020586032165675672,-0.07943541208417841
110,-0.03088803088803116,-0.008508923464280609
111,-0.11733333333333332,-0.1754488654500764
112,0.6924367787020432,-0.17052207429028246
113,NA,NA
114,NA,NA
115,0.592519403553674,-0.14352592192442487
116,-0.1666666666666673,0.1329727513227515
117,0.20258064516129076,0.07393468745636181
118,0.44082758620689777,-0.16390614872706025
119,NA,NA
120,0.7554126341765592,-0.5005116931621166
121,-0.15156622643928686,0.4178173013397363
122,NA,NA
123,NA,NA
124,-0.1663848400884942,0.24276096373379358
125,-0.11321596244131482,0.6256397082781336
126,0.919107911287653,-0.1438901311649086
127,0.5659981514263778,-0.5273852629075789
128,-0.1620833333333335,-0.5121094314364373
129,0.0982508591065287,-0.14722824993713865
130,0.8781484002722943,-0.706833714037392
131,0.07723262392241398,-0.6148169135604012
132,-0.282970914127429,-0.03722331497833447
133,0.23600000000000032,-0.03636409650754886
134,0.25021505376344105,-0.18699634242903523
135,0.6034152259629965,-0.31666859894646504
136,0.3115843270868821,-0.1028154116358378
137,-0.07043643263757134,-0.11269613914114032
138,0.4159722222222221,0.07135018118937389
139,0.2974804687499999,0.35689231478571554
140,-0.32552380952380944,0.11905305668946296
141,-0.2718512658227847,-0.4069718710463398
142,0.28055186170212687,-0.1210386487098234
143,-0.17894299735749342,-0.463238803832138
144,0.638111888111888,-0.16027435839370788
145,-0.3138165680473375,0.35453874887048514
146,0.4315960912052118,-0.22316682081268382
147,0.5484981454265517,-0.3247451932481384
148,0.19344757750428435,-0.23233735482928616
149,-0.8812183353437872,0.2994422116696372
150,0.6977456647398828,-0.11555980161278837
151,-0.2872403560830858,-0.09863751920365356
152,-0.4495703124999998,NA
153,NA,NA
154,NA,NA
155,0.4885321100917428,-0.42296260164620186
156,0.9226105263157918,-0.4612620946115285
157,-0.6233406085192699,0.25894986994791935
158,-0.28854468249372955,-0.4466199069689155
159,0.012397003745317714,0.12852498203194876
160,0.5165131858357602,-0.030061001417872348
161,0.6660355926571982,0.09014400514424539
162,0.07605985037406485,0.027686709599561418
163,-0.43837104072398225,-0.1311943213649091
164,-0.044021164021164516,-0.04088347123719466
165,0.5140350877192983,-0.45702298838263666
166,-0.13245772195971162,0.26371801174035775
167,-0.23464285714285693,-0.43351212590939153
168,0.09623430962343249,0.39087882139822644
169,0.0465761177136369,0.5596860362153334
170,0.37118696186961975,0.005670574526050783
171,-0.4455886970172679,0.30725456957411823
172,-0.8268093385213988,-0.4161284727106708
173,-0.058976317799847314,-0.21927765070636515
174,0.8539370078740154,-0.16863398200224955
175,-0.35768224299065476,-0.02029351847996231
176,0.04962732919254764,0.43840038102749634
177,-0.7449053497942383,0.10239795877145877
178,-0.16377104377104368,0.09411082651065626
179,-0.6541472703062585,0.5795260123192928
180,-0.25679449360865303,-0.15731055201803587
181,0.6514649681528658,-0.23509157779543036
182,0.30115384615384555,-0.42008232637501974
183,0.058819934179595815,-0.2909533043672961
184,-0.5512820512820513,-0.003772690391634409
185,-0.11940983606557387,0.08469984080352362
186,-0.4663553639846741,0.11296796465738018
187,0.2360946969696972,-0.27304080832871563
188,0.7977227685749546,0.09025598431355009
189,0.013333333333333308,-0.0540949730725622
190,-0.17567567567567688,0.12427638309537652
191,0.8542693819221152,-0.46669806324649815
192,0.7142095238095237,-0.2657438371998231
193,0.44031518624641935,-0.49112021944170975
194,-0.47340497695434575,0.19493316677645833
195,NA,NA
196,0.24634268336645143,-0.36372934717999694
197,-0.4352672795369426,-0.4434201446552973
198,0.6782407407407408,-0.4859457772283208
199,-0.6774597315436242,-0.08941254416910435
200,0.38041984732824435,-0.49811801820272067
201,-0.8097072243346011,-0.17116282685212553
202,0.21566635887965568,-0.0788347178140481
203,0.614800627943485,-0.3579791900807175
204,0.25196320702910463,-0.22492897503881537
205,0.16173862760215912,-0.25410569984671255
206,-0.23164919354838742,0.19665304623132274
207,-0.3638015864621894,0.10864025870132424
208,-0.4616564207650263,0.33181488206335635
209,0.05452127659574735,0.5486482336927399
210,0.4418175853018364,0.4305600037588213
211,-0.575923970432946,0.3503248897640413
212,-0.06498722627737219,-0.1058548906547673
213,-0.01983134470141712,-0.11895575032950763
214,0.8733338192419826,-0.6411408648018964
215,0.6618439716312059,-0.2058068387827778
216,0.22767295597484372,0.062358048014803505
217,-0.6487217948717946,NA
218,0.00263065483090974,0.059754718044166114
219,0.4698686514886165,-0.29204735209015464
220,0.3836090225563908,-0.1551251476934499
221,0.15470048309178785,0
222,0.5100415923945333,-0.3629477476042231
223,0.3071746575342463,-0.30564121724574467
224,0.08067241379310353,0.03871653787441263
225,-5.423728813538364e-4,-0.26387567804923157
226,0.5712653406686411,-0.47809760176936755
227,0.0010285958173281984,0.509497525202705
228,-0.3817445314609776,0.5240047485766484
229,0.38906354515050207,-0.207845835897374
230,0.10503994360902369,-0.08755015720527674
231,0.44375789688200573,-0.3058173411204705
232,0.5013419293218722,0.09313634433437998
233,-0.0363318112633193,-0.5587125932449077
234,0.2287853035143771,-0.49544669676297837
235,0.7567709497206706,-0.32238073185845034
236,0.621332439078918,-0.4389368654064327
237,0.6479577464788735,0.23005283580085556
238,0.5122389666307853,-0.28929037391794515
239,0.7081569560047561,-0.3133498609022039
240,0.00920187793427163,0.1459721139336017
241,0.6509383033419026,0.23103407431056994
242,0.9411641896673747,0.20691871127431857
243,-0.07309646118721463,-0.43145856785636627
244,0.8972512820512825,-0.08894484295770577
245,-0.12599940334128945,0.02114845926925749
246,-0.5230745684890701,0.3755509404017922
247,-0.4843333333333332,0.09870657198442818
248,0.025161290322580743,0.25256395987777547
249,0.4821990740740743,0.19761954319885455
250,0.8306569343065692,-0.32718887144921605
251,0.1910499174917491,-0.46165877065339306
252,-0.022000000000000033,-0.6835708991921321
253,0.010681133212778797,-0.6258944833991464
254,0.21347587049480765,0.2852076174469402
255,0.6296607041453719,-0.5645088696182726
256,0.3843669527896996,-0.5828071741658438
257,0.553162408759124,-0.3840057749908888
258,0.5343466898954705,-0.06066973048780501
259,-0.497090773809523,0.0977500000000022
260,-0.23826502732240426,0.312168316247025
261,0.1329454454454458,-0.2751032954382315
262,0.4810285714285693,-0.17986297085998593
263,0.23094170403587422,0.00959406827215481
264,0.23903217697335416,-0.40033411699720256
265,-0.14068322981366452,-0.33012905857200947
266,-0.2581449275362326,0.14074997106983475
267,0.860206349206348,0.22870324522626112
