characteristic,cluster1,cluster2,p.adj,conover_stat
initial_Q,1,2,0.15874270198843218,1.1736093251212814
initial_Q,1,3,0.17570640358404932,-1.0730834830468199
initial_Q,2,3,0.07197374710946938,-1.878645195341395
initial_Q,1,4,0.33559882933973306,-0.5147502907170312
initial_Q,2,4,0.07829110617043254,-1.7921461563383556
initial_Q,3,4,0.24838920591498004,0.7979491186514704
initial_Q,1,5,0.012995503281753234,2.7036326932206816
initial_Q,2,5,0.12983561912295297,1.3669576159476249
initial_Q,3,5,0.010137499709773545,2.922027671515486
initial_Q,4,5,0.0040600163769909945,3.6078755707661765
initial_Q,1,6,0.015571798905085501,2.704136417443066
initial_Q,2,6,0.0952239286010289,1.6103987217368085
initial_Q,3,6,0.010413601636132386,3.0057283753718145
initial_Q,4,6,0.004944330689496687,3.355448999544597
initial_Q,5,6,0.3237877117913864,0.5012311520465242
initial_Q,1,7,0.15699405178663176,1.2188617004043019
initial_Q,2,7,0.4834848771183454,-0.04145899096501931
initial_Q,3,7,0.08510540136306075,1.9159941025458493
initial_Q,4,7,0.07460726022235473,1.9151616199630819
initial_Q,5,7,0.10441378887876732,-1.5230134723292814
initial_Q,6,7,0.08055105110179829,-1.7340726938043796
duration_since_last,1,2,0.5143335000761299,0.08707115942826109
duration_since_last,1,3,0.12031314254906203,1.5360643289985045
duration_since_last,2,3,0.11314362377278843,1.4418161756950334
duration_since_last,1,4,0.10723164583293757,1.6418826306504217
duration_since_last,2,4,0.11850800893852767,1.4566380850832543
duration_since_last,3,4,0.35712102452079625,-0.5568978434665338
duration_since_last,1,5,0.09371010481241553,-2.020402764947764
duration_since_last,2,5,0.07873773737918913,-2.016884895266494
duration_since_last,3,5,0.013193573243654652,-2.9298689593395397
duration_since_last,4,5,8.860074863536865e-4,-4.010757732126091
duration_since_last,1,6,0.49500260473459573,0.07175969054849586
duration_since_last,2,6,0.4978906292261277,-0.005293792122349173
duration_since_last,3,6,0.12329658610814796,-1.35735940983852
duration_since_last,4,6,0.13569006780394738,-1.266457322528588
duration_since_last,5,6,0.11708578047096621,1.7708082967216163
duration_since_last,1,7,0.11709317116999321,-1.6504231418642972
duration_since_last,2,7,0.1280204378413748,-1.66439410706948
duration_since_last,3,7,0.020961645620624123,-2.678544305573005
duration_since_last,4,7,0.0023009828210551597,-3.5731791261435766
duration_since_last,5,7,0.4149355565945942,0.37059263295521044
duration_since_last,6,7,0.1270276377363015,-1.4622774834470587
delta_rat_Q,1,2,0.06833822604410103,-1.8544937948186424
delta_rat_Q,1,3,0.3372208678935178,0.510547729420961
delta_rat_Q,2,3,0.0686627589069857,1.8087594917110479
delta_rat_Q,1,4,0.3724384342413473,-0.37316381807771987
delta_rat_Q,2,4,0.07180422623240681,1.709226525923888
delta_rat_Q,3,4,0.25470969439184626,-0.7793741654287061
delta_rat_Q,1,5,5.577595379678919e-6,-5.029090763729528
delta_rat_Q,2,5,0.007642426678941119,-2.8819308718592853
delta_rat_Q,3,5,4.120602439278591e-4,-3.9253213660792032
delta_rat_Q,4,5,2.8114373555684366e-6,-5.319669704145115
delta_rat_Q,1,6,0.07183190230195335,-1.673277746593414
delta_rat_Q,2,6,0.48902558370316906,-0.02754536504814938
delta_rat_Q,3,6,0.07622452079277439,-1.7189364312136033
delta_rat_Q,4,6,0.09279744097968567,-1.5099735399764982
delta_rat_Q,5,6,0.01688515298621955,2.509154126303535
delta_rat_Q,1,7,0.0043951766117021965,-3.115870652744521
delta_rat_Q,2,7,0.18759588406301203,-1.0699977717035047
delta_rat_Q,3,7,0.013562409396019388,-2.6352137792593058
delta_rat_Q,4,7,0.0050112549977860184,-3.1441740566634104
delta_rat_Q,5,7,0.060956624490129833,1.9522667435373189
delta_rat_Q,6,7,0.22325060535103397,-0.914613971595931
p_10270201_1d_total,1,2,0.026120251901685047,-3.062158032559368
p_10270201_1d_total,1,3,0.46146196271450535,0.15245588325348142
p_10270201_1d_total,2,3,0.05728553195478848,2.310814135745583
p_10270201_1d_total,1,4,0.02740457503693493,-2.822980510746988
p_10270201_1d_total,2,4,0.3744300531988547,0.734321081982401
p_10270201_1d_total,3,4,0.07245415505190822,-1.986390978204579
p_10270201_1d_total,1,5,0.05119869446869002,-2.195188299662743
p_10270201_1d_total,2,5,0.2738189248680606,1.0677790003253387
p_10270201_1d_total,3,5,0.10724152017455897,-1.6418373094996006
p_10270201_1d_total,4,5,0.45243009840895254,0.45953672493004705
p_10270201_1d_total,1,6,0.04931019825336584,-2.2823335180816686
p_10270201_1d_total,2,6,0.4429851558675491,0.41985464252518373
p_10270201_1d_total,3,6,0.0775386089352359,-1.844983618879899
p_10270201_1d_total,4,6,0.4803056074576636,-0.1649742976955227
p_10270201_1d_total,5,6,0.46536850210516917,-0.4958960278645453
p_10270201_1d_total,1,7,0.04463655833688079,-2.5123248466116705
p_10270201_1d_total,2,7,0.3996756814330098,0.7455645310404039
p_10270201_1d_total,3,7,0.08400380801171405,-1.8620748734426922
p_10270201_1d_total,4,7,0.4679624947907097,0.08048993841372235
p_10270201_1d_total,5,7,0.4517763099960735,-0.34366235458379335
p_10270201_1d_total,6,7,0.4841717771700571,0.214960459636012
p_10270202_1d_total,1,2,0.02132648023658979,-2.905588362672228
p_10270202_1d_total,1,3,0.4593810192158141,0.7055518250080159
p_10270202_1d_total,2,3,0.017448262739285,2.741581257333838
p_10270202_1d_total,1,4,0.013149383902957905,-3.2715018822220103
p_10270202_1d_total,2,4,0.468341870744744,0.13583922713979768
p_10270202_1d_total,3,4,0.016371671695341553,-2.85934066111316
p_10270202_1d_total,1,5,0.025177152923902442,-2.4681813126397167
p_10270202_1d_total,2,5,0.45425319207185355,0.6457600780536668
p_10270202_1d_total,3,5,0.02334897191627327,-2.3889583256711697
p_10270202_1d_total,4,5,0.4026470002197869,0.6185909876070972
p_10270202_1d_total,1,6,0.026732763416998196,-2.250559007913682
p_10270202_1d_total,2,6,0.49362923001863107,0.3161615601313983
p_10270202_1d_total,3,6,0.024269853958229604,-2.329298555168197
p_10270202_1d_total,4,6,0.5022060426817696,0.23673482240465482
p_10270202_1d_total,5,6,0.47554586815633426,-0.23399180426285274
p_10270202_1d_total,1,7,0.02978521407417763,-2.4734296439128873
p_10270202_1d_total,2,7,0.4318247378204018,0.6219739597763164
p_10270202_1d_total,3,7,0.02617735364751915,-2.396199283974079
p_10270202_1d_total,4,7,0.38921052123118693,0.5897250718430528
p_10270202_1d_total,5,7,0.4913188498044034,-0.0217883186006761
p_10270202_1d_total,6,7,0.4585576133842615,0.21526592697290722
p_10270203_1d_total,1,2,0.010714410274042702,-3.1236486218582193
p_10270203_1d_total,1,3,0.5114809901679692,0.03231792459231648
p_10270203_1d_total,2,3,0.046149065907678366,2.236647139600975
p_10270203_1d_total,1,4,0.010807226163603762,-3.329458794958974
p_10270203_1d_total,2,4,0.4355418822736071,0.3234978817741002
p_10270203_1d_total,3,4,0.044748244651052524,-2.187343331190081
p_10270203_1d_total,1,5,0.05602344299709284,-2.3194276708782526
p_10270203_1d_total,2,5,0.29814968430820005,1.0127687329645338
p_10270203_1d_total,3,5,0.11577309365275462,-1.603869818164166
p_10270203_1d_total,4,5,0.3476950080946009,0.8480846211948747
p_10270203_1d_total,1,6,0.05082802132725841,-2.270465331106995
p_10270203_1d_total,2,6,0.4715901343598197,0.4841527428605712
p_10270203_1d_total,3,6,0.1001874224007772,-1.7257641094494494
p_10270203_1d_total,4,6,0.43830693918720526,0.2625895647515368
p_10270203_1d_total,5,6,0.4625294450590347,-0.3793610538433581
p_10270203_1d_total,1,7,0.023234314484272614,-2.742021259798654
p_10270203_1d_total,2,7,0.4492224623269602,0.5894783109778923
p_10270203_1d_total,3,7,0.07781623884609382,-1.8964341884576592
p_10270203_1d_total,4,7,0.4509520128919767,0.3454398998040026
p_10270203_1d_total,5,7,0.4552469603436244,-0.4539295655239358
p_10270203_1d_total,6,7,0.49620302193667726,0.009529203752222886
p_10270204_1d_total,1,2,0.03475176777835359,-2.602195064266276
p_10270204_1d_total,1,3,0.4103581336275738,0.6030322686206799
p_10270204_1d_total,2,3,0.04219007249113717,2.4270809688693755
p_10270204_1d_total,1,4,0.02113983279557362,-3.127831736601343
p_10270204_1d_total,2,4,0.47387297693058733,-0.0656167781782907
p_10270204_1d_total,3,4,0.04442611458126949,-2.658384687775992
p_10270204_1d_total,1,5,0.05720600069691656,-2.2237473842355655
p_10270204_1d_total,2,5,0.40056453223061345,0.5656593779610536
p_10270204_1d_total,3,5,0.0528910771491672,-2.119186033811121
p_10270204_1d_total,4,5,0.399507592466764,0.7458831621580504
p_10270204_1d_total,1,6,0.045181124230428686,-2.0358858746099435
p_10270204_1d_total,2,6,0.4622618443461794,0.26347037640906107
p_10270204_1d_total,3,6,0.05150107617279369,-2.074763660378596
p_10270204_1d_total,4,6,0.47589760417155347,0.35202313538808433
p_10270204_1d_total,5,6,0.45685069324032307,-0.21923470362011802
p_10270204_1d_total,1,7,0.05872780148908295,-2.139518510423811
p_10270204_1d_total,2,7,0.4279946376998544,0.6292159800525063
p_10270204_1d_total,3,7,0.04681832212308635,-2.065345474646863
p_10270204_1d_total,4,7,0.39483994087315616,0.8191439598608921
p_10270204_1d_total,5,7,0.4946141395808569,0.07269061165952578
p_10270204_1d_total,6,7,0.4829421276628236,0.27719417291072734
p_10270206_1d_total,1,2,0.014350231539872317,-3.0325636186696547
p_10270206_1d_total,1,3,0.4859950245474403,0.4572154492854187
p_10270206_1d_total,2,3,0.03615111864291528,2.588178302436788
p_10270206_1d_total,1,4,0.023670887763250312,-3.0928586056019274
p_10270206_1d_total,2,4,0.4592096930648513,0.44606560521128535
p_10270206_1d_total,3,4,0.024242539390197076,-2.4820987860776027
p_10270206_1d_total,1,5,0.02904902093286199,-2.4826295187312315
p_10270206_1d_total,2,5,0.42599858998759493,0.76307333128182
p_10270206_1d_total,3,5,0.04332026988501609,-2.1463139779609675
p_10270206_1d_total,4,5,0.44512602903771337,0.4153863463641942
p_10270206_1d_total,1,6,0.04305098311799701,-2.100375609532023
p_10270206_1d_total,2,6,0.45947471594197015,0.5706195923605784
p_10270206_1d_total,3,6,0.05041264815969337,-1.9889973442630131
p_10270206_1d_total,4,6,0.4667811918662029,0.2534169543229965
p_10270206_1d_total,5,6,0.5227602003651021,-0.06787916613677258
p_10270206_1d_total,1,7,0.0346386010706008,-2.4998961254856154
p_10270206_1d_total,2,7,0.40951193812828446,0.7270486476087227
p_10270206_1d_total,3,7,0.04758103767740171,-2.162499963601971
p_10270206_1d_total,4,7,0.43756703532069974,0.3744623176712995
p_10270206_1d_total,5,7,0.48631283141868537,-0.03435669503105732
p_10270206_1d_total,6,7,0.5083899455816315,0.0397107744140906
p_10250017_1d_total,1,2,0.025450561980861777,-2.530825308051135
p_10250017_1d_total,1,3,0.11796213709373189,1.5944890408890429
p_10250017_1d_total,2,3,0.010179076204061352,3.346996737656495
p_10250017_1d_total,1,4,0.0800149256767997,-1.830646300614932
p_10250017_1d_total,2,4,0.24530753538571268,1.0823471475602113
p_10250017_1d_total,3,4,0.012096057467222244,-2.864282333043277
p_10250017_1d_total,1,5,0.032666184701257234,-2.3707343643606653
p_10250017_1d_total,2,5,0.40085491582970406,0.3517838243317288
p_10250017_1d_total,3,5,0.007641174057080036,-3.2265471613683787
p_10250017_1d_total,4,5,0.30645618479564196,-0.7774196098306216
p_10250017_1d_total,1,6,0.2408214560986059,-1.1479952107391391
p_10250017_1d_total,2,6,0.233845763964929,1.0618760241051843
p_10250017_1d_total,3,6,0.03178387460439591,-2.32220465602314
p_10250017_1d_total,4,6,0.40014543776033984,0.25329442748873904
p_10250017_1d_total,5,6,0.3121957747630268,0.8145509019455988
p_10250017_1d_total,1,7,0.07167542118766033,-1.9328714004795051
p_10250017_1d_total,2,7,0.2967575844118515,0.7531656032105309
p_10250017_1d_total,3,7,0.013199228637828266,-2.9297302018467337
p_10250017_1d_total,4,7,0.40456946353763934,-0.29195959962298274
p_10250017_1d_total,5,7,0.38576848009531095,0.43872330904996354
p_10250017_1d_total,6,7,0.40117537103323675,-0.4550859822510761
p_10260005_1d_total,1,2,0.06651943346315088,-2.163073940116874
p_10260005_1d_total,1,3,0.12569107567701276,1.7374155434316683
p_10260005_1d_total,2,3,0.015245497162030639,3.2272729558277558
p_10260005_1d_total,1,4,0.20357483375518576,-1.3625662994727394
p_10260005_1d_total,2,4,0.23239826197238284,1.1162616679521506
p_10260005_1d_total,3,4,0.025352907174246056,-2.7121790441903606
p_10260005_1d_total,1,5,0.11934497678156444,-1.6983900223802104
p_10260005_1d_total,2,5,0.37821418311165844,0.613363768733227
p_10260005_1d_total,3,5,0.020627543051302967,-2.916430688867719
p_10260005_1d_total,4,5,0.339943243590692,-0.5035145283039931
p_10260005_1d_total,1,6,0.3639067288998823,-0.5408607262737184
p_10260005_1d_total,2,6,0.19287508820766483,1.3339146024275805
p_10260005_1d_total,3,6,0.08191120443282883,-1.9999507157878036
p_10260005_1d_total,4,6,0.34855121399886485,0.5287879406285778
p_10260005_1d_total,5,6,0.2880733437435609,0.872213186813949
p_10260005_1d_total,1,7,0.21790601599780052,-1.1064996145173078
p_10260005_1d_total,2,7,0.23446700848357763,1.164310022741123
p_10260005_1d_total,3,7,0.03342248073299421,-2.5129223435703447
p_10260005_1d_total,4,7,0.4368653204789159,0.1591175675653289
p_10260005_1d_total,5,7,0.359065911682798,0.6030264283369335
p_10260005_1d_total,6,7,0.37006891111241874,-0.3792445262253849
p_10260010_1d_total,1,2,0.129327105622056,-1.6011931025752295
p_10260010_1d_total,1,3,0.21411359666903584,1.117445294187643
p_10260010_1d_total,2,3,0.09530765370607319,2.2238964438086732
p_10260010_1d_total,1,4,0.21034328924642637,-1.0821074061673097
p_10260010_1d_total,2,4,0.3150281230945188,0.756776407135393
p_10260010_1d_total,3,4,0.10824896057045395,-1.8774468846823298
p_10260010_1d_total,1,5,0.0626085058922598,-2.187594552327388
p_10260010_1d_total,2,5,0.34924386453177436,-0.43332680264174706
p_10260010_1d_total,3,5,0.09981230361363523,-2.6175924829575408
p_10260010_1d_total,4,5,0.15555514469076223,-1.3522075116051941
p_10260010_1d_total,1,6,0.339484182926781,0.5046987417783702
p_10260010_1d_total,2,6,0.09565071487221175,1.8637421889094767
p_10260010_1d_total,3,6,0.31918973868723194,-0.6494200602948735
p_10260010_1d_total,4,6,0.14622745204254553,1.4335904321601523
p_10260010_1d_total,5,6,0.10209779174978391,2.3551280494889966
p_10260010_1d_total,1,7,0.12176054899482854,-1.5785345490444544
p_10260010_1d_total,2,7,0.4455398825088419,0.13710583056132758
p_10260010_1d_total,3,7,0.07486583281027502,-2.205414839994582
p_10260010_1d_total,4,7,0.331869856047281,-0.6666940174291893
p_10260010_1d_total,5,7,0.31354777236373216,0.617606284179811
p_10260010_1d_total,6,7,0.08748878553375344,-1.8436407857798407
p_10270101_1d_total,1,2,0.21295637804265585,-1.3374573585441467
p_10270101_1d_total,1,3,0.11886651162469303,1.7637371832659239
p_10270101_1d_total,2,3,0.02862722275999909,2.670220720858231
p_10270101_1d_total,1,4,0.263170034784649,-1.152012929899004
p_10270101_1d_total,2,4,0.4033859915399581,0.39734726584179325
p_10270101_1d_total,3,4,0.02595003472325559,-2.603745085053752
p_10270101_1d_total,1,5,0.07960839022889864,-2.0121821097741823
p_10270101_1d_total,2,5,0.38780165465294025,-0.5383140216416787
p_10270101_1d_total,3,5,0.01930294942305346,-3.1557272278355524
p_10270101_1d_total,4,5,0.2686226091574066,-1.079952089203843
p_10270101_1d_total,1,6,0.37590169069450163,-0.6737752421872316
p_10270101_1d_total,2,6,0.3831127859373161,0.4961991524233322
p_10270101_1d_total,3,6,0.07329097451391162,-2.123418205842809
p_10270101_1d_total,4,6,0.4368908074661297,0.21218182280465298
p_10270101_1d_total,5,6,0.2788563481318575,0.999543292134759
p_10270101_1d_total,1,7,0.13455771998510946,-1.6399828950752495
p_10270101_1d_total,2,7,0.423869675184583,-0.19224309149237917
p_10270101_1d_total,3,7,0.021549713665132562,-2.9021938443917166
p_10270101_1d_total,4,7,0.3552719429802228,-0.6638345525801085
p_10270101_1d_total,5,7,0.39212802821124826,0.3729505808683633
p_10270101_1d_total,6,7,0.39523956477942995,-0.6925823020206201
p_10250016_1d_total,1,2,0.03292302565376779,-2.9890412552949006
p_10250016_1d_total,1,3,0.3849537110693274,0.4406546645869504
p_10250016_1d_total,2,3,0.041211337074849856,2.541248038680602
p_10250016_1d_total,1,4,0.02327992237909265,-2.876922759437847
p_10250016_1d_total,2,4,0.41088531472606865,0.6019739484772442
p_10250016_1d_total,3,4,0.05522107676433158,-2.3249926009771307
p_10250016_1d_total,1,5,0.054105650932348474,-2.2458571100234477
p_10250016_1d_total,2,5,0.30299751711222334,0.9439646784608838
p_10250016_1d_total,3,5,0.07540292676889265,-1.9691069927507652
p_10250016_1d_total,4,5,0.39970003721900343,0.4584143277029094
p_10250016_1d_total,1,6,0.10822490967712964,-1.6887587507174184
p_10250016_1d_total,2,6,0.28473206897145104,0.9317898452024469
p_10250016_1d_total,3,6,0.10201676550463498,-1.6663001385815288
p_10250016_1d_total,4,6,0.4209643595444804,0.52322065051483
p_10250016_1d_total,5,6,0.4845419518204527,0.15523042359916073
p_10250016_1d_total,1,7,0.04757316481258112,-2.2245709951041652
p_10250016_1d_total,2,7,0.32997975539161223,0.9451222080840457
p_10250016_1d_total,3,7,0.06759138668713056,-1.9585843892352284
p_10250016_1d_total,4,7,0.4227412822171297,0.4625405993109969
